2024-04-24 15:28:10.116 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2a88d508 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:10.128 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2be901b0 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:10.132 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4725b150 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:10.136 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@11518ad5 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:10.140 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@756373f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:10.140 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@64d142e4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:10.147 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e94c01f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:10.148 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@138ee43a (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:10.152 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2557c6bb (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:10.152 | activiti-acquire-timer-jobsraceId | WARN  | 12116 | activiti-acquire-timer-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4bff6697 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 15:28:16.827 | HikariPool-1 housekeeperraceId | WARN  | 12116 | HikariPool-1 housekeeper | com.zaxxer.hikari.pool.HikariPool$HouseKeeper.run(HikariPool.java:788) : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=5d6h39m57s647ms603µs300ns).
2024-04-24 18:56:11.667 | activiti-reset-expired-jobsraceId | WARN  | 12116 | activiti-reset-expired-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4780051b (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 18:56:11.669 | activiti-reset-expired-jobsraceId | WARN  | 12116 | activiti-reset-expired-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5beeccc9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 18:56:11.672 | activiti-reset-expired-jobsraceId | WARN  | 12116 | activiti-reset-expired-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7770a1fa (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-04-24 18:56:11.673 | activiti-reset-expired-jobsraceId | WARN  | 12116 | activiti-reset-expired-jobs | com.zaxxer.hikari.pool.PoolBase.isConnectionAlive(PoolBase.java:184) : HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@309fdad2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
